Name,Address,Rating,Reviews,Price (USD)
Queens Park Hotel,Westminster,5.8,7369,89
Troy Hotel,Westminster,7.6,2547,110
"Hotel DC, Stratford",Newham,8.1,3080,54
Hampton By Hilton London Old Street,Hackney,8.1,917,101
Sapphire Hotel London,Hammersmith and Fulham,6.1,2140,48
Point A Hotel London Shoreditch,Hackney,7.7,6430,96
The Chapter - The J Hyde Park Hotel,Westminster,7.2,128,95
Morgan Hotel,Camden,7.3,2358,153
KingswayPark Hotel at Park Avenue,Westminster,7.1,1589,98
Victoria Inn London,Westminster,7.2,2533,99
Paddington Park Hotel,Westminster,7.8,3687,125
Sonder Kensington Gardens,Kensington and Chelsea,7.9,1152,150
City Gate Guest House,Tower Hamlets,7.5,1019,55
Kensington Rooms - Warwick Road,Kensington and Chelsea,7.7,725,98
"Huttons Hotel, Victoria London",Westminster,7,2598,121
Thistle London Bloomsbury Park,Camden,6.9,1802,135
Central Hoxton Shoreditch,Hackney,7.6,3202,90
ibis London Earls Court,Hammersmith and Fulham,7.7,6872,91
Kings Cross Inn Hotel,Camden,6.6,7866,85
The Beverley Hotel London - Victoria,Westminster,7.6,1271,107
Luna And Simone Hotel,Westminster,8.6,3704,151
The Rokxy Townhouse - Kings Cross,Camden,8.4,929,210
Rose And Crown Hotel,Merton,9.1,330,129
The Villa Kensington,Kensington and Chelsea,7.3,2043,111
Kabannas London St Pancras,Camden,7.9,6877,119
Point A Hotel London Paddington,Westminster,8,6533,108
Marylebone Inn,Westminster,8.2,3085,193
Best Western Plus Delmere Hotel,Westminster,8.3,2449,93
Point A Kensington Olympia,Kensington and Chelsea,7.8,4326,88
Bob W London Olympia,Kensington and Chelsea,8.3,24,91
Quality Hotel Hampstead,Camden,8.1,2585,116
Hampstead Britannia,Camden,6.4,440,79
Pelican London Hotel and Residence,Wandsworth,7.7,2922,119
Leigh House Hotel,Camden,7.2,1895,90
Reem Hotel,Westminster,8.4,176,150
The Mad Hatter Hotel,Southwark,8.9,3433,157
Tudor Court Hotel,Westminster,7.5,2424,76
Star Hotel,Hammersmith and Fulham,8.4,2084,79
Rushmore Hotel,Kensington and Chelsea,7.1,1415,73
Bob W London Holland Park,Kensington and Chelsea,8.5,33,103
"Holiday Inn Express Earls Court, an IHG Hotel",Hammersmith and Fulham,8.1,5707,84
The Camden Town Hotel,Camden,7.9,852,137
Comfort Inn Hyde Park,Westminster,6.2,2054,80
Point A London Liverpool Street,Tower Hamlets,7.7,8292,100
London House Hotel,Westminster,7.8,2795,125
NOX West Hampstead,Camden,8,1232,63
Sheriff Hotel,Westminster,5.5,2322,62
ibis London Excel-Docklands,Newham,7.9,4031,84
1 Lexham Gardens Hotel,Kensington and Chelsea,6.2,3636,74
London Stay Apartments,Southwark,7.7,1452,86
Royal Eagle Hotel,Westminster,6.7,6799,91
Aspen Hotel,Westminster,7.5,1250,145
Arosfa Hotel London by Compass Hospitality,Camden,7.8,1390,135
Romany House Hotel,Westminster,7.9,186,90
95 Studios,Camden,7.4,117,62
Royal Park Hotel,Westminster,6.9,4422,72
London - Wembley International Hotel,Brent,6.6,5937,69
Antoinette Hotel Wimbledon,Merton,8.2,1779,94
Zedwell Underground Hotel Tottenham Court Rd,Camden,6.9,4466,105
Abbey Point Hotel,Brent,8.5,2683,78
Notting Hill Gate Hotel,Kensington and Chelsea,6.8,2348,61
Ivy House Hotel,Westminster,5.7,2225,72
Dog and Fox,Merton,8.6,473,119
Dreamtel London Kensington,Kensington and Chelsea,6.6,2111,101
Westbury Hotel Kensington,Kensington and Chelsea,7.8,3350,68
Vilenza Hotel,Tower Hamlets,7.3,2191,115
Mermaid Suite Hotel,Westminster,7.4,2835,96
StayInn Holborn,Camden,6.9,852,111
Charming En-Suite in London,Lewisham,6.8,244,50
Garden Court Hotel,Westminster,7.5,3334,122
The Darlington Hyde Park,Westminster,8.1,1556,161
StayInn Monument,City of London,6.7,1004,111
Linden House Hotel,Westminster,7,3615,65
The William,Brent,8.2,1427,115
City London Hotel,Southwark,7.5,2631,85
Kensington Stay,Kensington and Chelsea,7.4,678,107
Caring Hotel,Westminster,7.5,3070,146
StayInn Covent Garden,Westminster,6.8,528,134
Point A Hotel London Westminster,Lambeth,7.2,2814,104
Commodore Hotel,Westminster,7.7,4479,108
The Wellington Hotel,Lambeth,7.9,4171,152
Angel Townhouse,Islington,8,1095,126
Queens Hotel,Hackney,7,2355,147
Best Western Kensington Olympia Hotel,Hammersmith and Fulham,8.3,97,95
Mabledon Court Hotel,Camden,6.2,3885,85
Harlingford Hotel,Camden,7.9,1590,160
Dolphin Hotel,Westminster,6.8,1331,74
OYO London Guest House,Ealing,7.5,750,71
London Backpackers Youth Hostel,Barnet,7.5,2368,85
StayInn Farringdon,Islington,6.5,336,115
Lancaster Court Hotel,Westminster,6.6,201,75
Hotel 63,Westminster,8.2,1598,171
Apollo Hotel Kings Cross,Camden,6,1356,80
17 Hertford Street,Westminster,7.7,159,192
"Queensway Hotel, Sure Hotel Collection by Best Western",Westminster,7,2775,80
Shakespeare Hotel,Westminster,6.7,1677,78
Duke Of Leinster Hotel,Westminster,6.9,1552,96
The Gresham Hotel,Westminster,7.1,3656,87
Studio 48B,Brent,7,23,65
Dockside Hotel,Tower Hamlets,6.2,1538,65
The Clarendon Hotel,Lewisham,8.1,6141,124
Orchard Hotel,Westminster,6.9,2528,94
Hyde Park Boutique Hotel,Westminster,6.9,2922,99
Fox and Grapes,Merton,8.4,185,150
Woodman Pub,Merton,8,479,88
Berjaya Eden Park London Hotel,Westminster,5.8,2574,86
Royal Cambridge Hotel,Westminster,6,1231,69
Melbourne House Hotel,Westminster,8.3,1229,119
The 29 London,Westminster,7.4,1282,108
Vegas Hotel,Westminster,5.5,1566,77
