id,name,picture_url,neighbourhood_cleansed,latitude,longitude,room_type,price,number_of_reviews,review_scores_rating
7.97E+17,"super king-size bed, zone 2",https://a0.muscache.com/pictures/a84f3ff4-323e-436d-b8aa-370f855ff6d4.jpg,Richmond upon Thames,51.4854328,-0.2330338,Private room,87,34,4.65
7.97E+17,1* Room next to Waterloo station,https://a0.muscache.com/pictures/miso/Hosting-797107706332239356/original/67a5bfaa-c022-4b7e-9d17-f54696c7339c.jpeg,Lambeth,51.49895501,-0.110395358,Private room,54,123,4.48
7.97E+17,2* Room next to Waterloo Station,https://a0.muscache.com/pictures/miso/Hosting-797113116395060548/original/ab9291ca-4703-4fe0-9a10-c9447a2718d6.jpeg,Lambeth,51.50003,-0.11049,Private room,58,126,4.65
7.97E+17,Cosy One bedroom Flat near Canary Wharf,https://a0.muscache.com/pictures/a8b3d1bf-e08e-49ca-aeb5-e2a3a58fee78.jpg,Tower Hamlets,51.49169355,-0.020589774,Entire home/apt,88,23,4.91
7.97E+17,Private Bedroom&bath Marylebone,https://a0.muscache.com/pictures/41c4ba8f-a3e9-4c19-953a-bd06768883d0.jpg,Westminster,51.52015071,-0.160571129,Private room,88,96,4.95
7.97E+17,Cozy room - 2min walk to train station,https://a0.muscache.com/pictures/02c93f5a-bf89-43b9-b52d-c0df13334bb6.jpg,Lewisham,51.448941,0.014871542,Private room,48,4,5
7.98E+17,Cosy room with double bed nice ideal for two !,https://a0.muscache.com/pictures/cad46af3-a916-4600-92e9-afda941835a4.jpg,Lambeth,51.44500935,-0.109980018,Private room,69,4,4
7.98E+17,Small Room in Central London,https://a0.muscache.com/pictures/29f157f2-f57b-46b7-ab85-fcf53db62b3f.jpg,Islington,51.5389103,-0.121300369,Private room,63,122,4.63
7.98E+17,Fantastic new refurbished flat with shared office,https://a0.muscache.com/pictures/miso/Hosting-736743270127353632/original/9f9d62ed-f22c-4563-a5c5-8e9180b81444.jpeg,Camden,51.54834251,-0.202122603,Private room,125,8,4.88
7.98E+17,Stylish Duplex in the heart of Barnes,https://a0.muscache.com/pictures/miso/Hosting-798413817605061915/original/9539a3e4-049e-489b-bdad-beab6010f300.jpeg,Richmond upon Thames,51.46870736,-0.250968923,Entire home/apt,196,4,5
7.98E+17,Modern Apartment in Brixton,https://a0.muscache.com/pictures/miso/Hosting-798436874585410862/original/d31f48b5-2412-4de9-a65e-b9c5e69b54b5.jpeg,Lambeth,51.45876353,-0.116000548,Entire home/apt,185,31,4.61
7.98E+17,Peaceful room,https://a0.muscache.com/pictures/e2170156-1cc5-481d-af99-db868c9befa6.jpg,Waltham Forest,51.62664665,-0.016811132,Private room,53,8,5
7.98E+17,"Cosy large bedroom, East Dulwich",https://a0.muscache.com/pictures/miso/Hosting-797647430574129509/original/bc0171f5-55f5-4121-9d49-2ca6025d1481.jpeg,Southwark,51.46354036,-0.080159708,Private room,130,2,5
7.98E+17,Cosy 1 bed apartment,https://a0.muscache.com/pictures/miso/Hosting-797663858286600967/original/9ab653a1-5e0c-42e0-be7f-47ddaccf595a.jpeg,Westminster,51.51523444,-0.150727504,Entire home/apt,314,2,5
7.98E+17,Tooting Private Room,https://a0.muscache.com/pictures/miso/Hosting-797686350021550506/original/56428a8e-13a3-497c-b93e-28a8392e74a9.jpeg,Wandsworth,51.43151689,-0.167582371,Private room,100,2,5
7.98E+17,Luxury 2nd Floor Apartment On Exclusive Street!,https://a0.muscache.com/pictures/0c3ca045-0ba1-4e8a-863c-bf0faf249b06.jpg,Kensington and Chelsea,51.4905089,-0.1991459,Entire home/apt,136,40,4.8
7.99E+17,Double room at Clapham South,https://a0.muscache.com/pictures/hosting/Hosting-798566799172219532/original/a98ca8df-3d2e-40d4-84e6-37b9535a4dd9.jpeg,Lambeth,51.44914815,-0.142201675,Private room,45,18,4.72
7.98E+17,*New* Luxury Apartment in London,https://a0.muscache.com/pictures/miso/Hosting-797848599856184910/original/ecf49768-8ee9-4ebf-8a4f-aa5c7e4b4a30.jpeg,Havering,51.57673868,0.186099657,Entire home/apt,100,10,4.7
7.99E+17,"Happy Land, Smell of Blossom",https://a0.muscache.com/pictures/7452079f-4493-4e1d-b2a7-9c35255f2c51.jpg,Brent,51.56272821,-0.22570236,Private room,85,2,5
7.99E+17,"Room in modern flat, great location!",https://a0.muscache.com/pictures/miso/Hosting-798630198974517814/original/bd5b9cf2-f659-477a-bf2e-caa5429ca117.jpeg,Hounslow,51.46857117,-0.351806563,Private room,71,5,4.8
