date,label,value,trend
2017-04-01,2017 Q2,101.48619957537154,121.14544641004792
2017-07-01,2017 Q3,102.9723991507431,121.79267818126233
2017-10-01,2017 Q4,103.39702760084926,122.44336785352117
2018-01-01,2018 Q1,102.9723991507431,123.09753390100968
2018-04-01,2018 Q2,103.07855626326963,123.7551948966133
2018-07-01,2018 Q3,102.54777070063695,124.41636951244497
2018-10-01,2018 Q4,102.65392781316349,125.08107652037529
2019-01-01,2019 Q1,102.33545647558387,125.74933479256548
2019-04-01,2019 Q2,102.76008492569002,126.42116330200317
2019-07-01,2019 Q3,103.60934182590233,127.09658112304109
2019-10-01,2019 Q4,103.92781316348196,127.77560743193865
2020-01-01,2020 Q1,103.18471337579618,128.45826150740632
2020-04-01,2020 Q2,100.21231422505308,129.14456273115306
2020-07-01,2020 Q3,108.49256900212313,129.83453058843656
2020-10-01,2020 Q4,104.14012738853502,130.52818466861646
2021-01-01,2021 Q1,104.67091295116772,131.22554466571052
2021-04-01,2021 Q2,106.36942675159236,131.9266303789538
2021-07-01,2021 Q3,105.20169851380041,132.63146171336075
2021-10-01,2021 Q4,106.47558386411889,133.34005868029038
2022-01-01,2022 Q1,105.73248407643312,134.0524413980144
2022-04-01,2022 Q2,105.9447983014862,134.7686300922884
2022-07-01,2022 Q3,106.36942675159236,135.48864509692612
2022-10-01,2022 Q4,106.47558386411889,136.21250685437678
2023-01-01,2023 Q1,105.73248407643312,136.94023591630545
2023-04-01,2023 Q2,106.36942675159236,137.6718529441765
2023-07-01,2023 Q3,107.21868365180467,138.40737870984026
2023-10-01,2023 Q4,106.15711252653928,139.1468340961228
2024-01-01,2024 Q1,105.9447983014862,139.8902400974188
2024-04-01,2024 Q2,106.05095541401275,140.63761782028757
